,São Paulo,Amapá,Espírito Santo,Sergipe,Brasil,Roraima,Acre,Alagoas,Rondônia,Pernambuco,Bahia,Maranhão,Rio Grande do Sul,Mato Grosso do Sul,Piauí,Tocantins,Goiás,Amazonas,Minas Gerais,Santa Catarina,Paraíba,Rio de Janeiro,Rio Grande do Norte,Pará,Ceará,Distrito Federal,Paraná,Mato Grosso
2002,518878815,3173343,27048997,10332494,1488787276,2392033,2971301,11536853,7467630,36056032,58842976,15924003,98847211,16440424,7122635,5322563,38629365,22093338,124071066,54481893,12747021,184310915,13566803,26482159,28718840,53902200,88235715,19190653
2003#2003,591454032,3413195,31519106,11749574,1717950386,2594081,3377234,12624030,9425010,38815845,67174227,19502900,119325399,21846566,8414901,6612339,45557889,25862134,144189094,64098475,14737920,202640789,14865441,30270152,32687418,58456124,110039414,26697097
2004#2004,652955558,3824740,39732638,13336258,1957751224,2822757,3784003,14044907,11004641,44982684,77931725,22127132,131192206,23372308,9406461,7251580,51103815,31090696,171870934,73618966,15757832,241206738,17252398,37272726,36890816,67076505,123451530,33388670
2005#2005,743042944,4306410,47020588,14430118,2170584503,3193430,4300581,15484521,12511821,50240325,88291883,25104209,136362769,23725258,10711834,7707340,53865113,33980877,188364436,81549244,17557226,269830061,19966918,40522893,41059459,75732681,127464507,34257055
2006#2006,824529299.0,5280822.0,53463868.0,16419798.0,2409449916.0,3802452.0,4661807.0,17395671.0,13054713.0,55485293.0,95347802.0,29710643.0,147622599.0,26667894.0,13360478.0,8655613.0,61375403.0,39933213.0,212659547.0,91063449.0,20838016.0,299738183.0,22890124.0,45983027.0,46500321.0,84661406.0,137648311.0,30700165.0
2007#2007,935653180.0,6012523.0,60658395.0,18218450.0,2720262951.0,4203302.0,5458172.0,19871266.0,14438376.0,62459325.0,109329528.0,30730866.0,168009752.0,30084765.0,13736085.0,10192844.0,71410568.0,43479773.0,240355239.0,103728092.0,22909811.0,323698286.0,26318259.0,51846876.0,50818749.0,93404001.0,165208891.0,38027578.0
2008#2008,1042510168.0,6950413.0,72091158.0,21418378.0,3109803097.0,4841862.0,6410255.0,22262295.0,17285542.0,70413939.0,121667455.0,37932402.0,190229822.0,36219263.0,16203340.0,12116393.0,82417564.0,48115265.0,278607619.0,121477258.0,26889573.0,378285800.0,28898860.0,60956978.0,60415574.0,110299557.0,185683859.0,49202505.0
2009#2009,1127093826.0,7490656.0,69215361.0,21707243.0,3333039339.0,5671975.0,7407821.0,24182388.0,19725010.0,79760958.0,137942481.0,40994571.0,204344940.0,39517742.0,18946449.0,13689804.0,92865743.0,50559840.0,287443848.0,129098535.0,30230406.0,391650854.0,30941054.0,61665096.0,67199958.0,124323753.0,196675612.0,52693417.0
2010#2010,1294695988.0,8237795.0,85310285.0,26404893.0,3885847000.0,6639150.0,8342356.0,27133038.0,23907887.0,97189760.0,154419547.0,46309633.0,241249164.0,47270656.0,22269149.0,16404816.0,106770109.0,60877123.0,351123418.0,153726007.0,33522492.0,449858101.0,36184502.0,82684518.0,79336299.0,144174102.0,225205255.0,56600955.0
2011#2011,1436672709.0,9409228.0,105976222.0,29108272.0,4376382000.0,7303719.0,8949434.0,31657321.0,27574714.0,110161559.0,166602817.0,52143535.0,265056416.0,55133162.0,25941362.0,18345688.0,121296721.0,70734401.0,400124687.0,174068322.0,37109137.0,512767905.0,40992925.0,98710736.0,89695828.0,154568954.0,257122269.0,69153957.0
2012#2012,1559033444.0,11130868.0,116850581.0,32853181.0,4814760000.0,7711467.0,10137925.0,34650397.0,30112720.0,127989043.0,182572530.0,60490109.0,287587019.0,62013201.0,28637685.0,20684430.0,138757825.0,72242701.0,442282830.0,191794652.0,42488349.0,574884973.0,46412208.0,107080881.0,96973753.0,164101336.0,285620202.0,79665691.0
2013#2013,1715238417.0,12763486.0,117274347.0,35335986.0,5331618957.0,9010725.0,11473930.0,37282529.0,31121413.0,141150252.0,204844274.0,67694845.0,332292726.0,69203201.0,31283593.0,23796656.0,151300175.0,83051233.0,488004903.0,214512242.0,46377299.0,628226069.0,51518457.0,121224847.0,109036556.0,175906726.0,333481152.0,89212919.0
2014#2014,1858196055.0,13400284.0,128783781.0,37472432.0,5778952780.0,9744122.0,13458698.0,40974994.0,34030982.0,155142648.0,223929966.0,76842028.0,357816424.0,78950133.0,37723497.0,26189323.0,165015318.0,86668644.0,516633984.0,242553371.0,52936483.0,671076844.0,54022584.0,124584945.0,126054472.0,197432059.0,348084191.0,101234520.0
2015#2015,1939901907.0,13861293.0,120365980.0,38556530.0,5995787000.0,10242905.0,13622802.0,46367211.0,36563333.0,156963668.0,245043690.0,78475994.0,381992601.0,83082555.0,39149686.0,28930291.0,173632450.0,86568184.0,519331213.0,249079642.0,56141890.0,659138952.0,57250867.0,130899505.0,130629849.0,215612863.0,376962822.0,107418319.0
2016#2016,2038757382.0,14342135.0,109264423.0,38877438.0,6269328000.0,11013237.0,13754240.0,49468741.0,39460359.0,167345031.0,258738970.0,85310038.0,408789528.0,91892285.0,41416937.0,31584816.0,181759604.0,89039782.0,544810468.0,256754669.0,59104781.0,640401206.0,59677389.0,138107514.0,138422521.0,235540045.0,401814164.0,123880296.0
2017#2017,2120761635.0,15481908.0,113399937.0,40711486.0,6585479000.0,12104709.0,14272941.0,52851067.0,43516147.0,181609501.0,268724090.0,89542757.0,423270047.0,96396434.0,45365541.0,34108132.0,191948301.0,93240191.0,576375545.0,277270237.0,62396776.0,671605668.0,64305995.0,155232404.0,147921534.0,244722249.0,421497870.0,126845898.0
2018#2018,2210561949.0,16795207.0,137020055.0,42017981.0,7004141000.0,13369988.0,15331123.0,54413047.0,44913978.0,186351975.0,286239541.0,98179496.0,457293958.0,106969142.0,50378418.0,35666183.0,195681724.0,100109235.0,614875820.0,298227090.0,64373595.0,758859047.0,66969562.0,161349602.0,155903825.0,254817205.0,440029403.0,137442853.0
2019#2019,2348338000.0,17496661.0,137345595.0,44689483.0,7389131000.0,14292227.0,15630017.0,58963729.0,47091336.0,197853378.0,293240504.0,97339938.0,482464177.0,106943246.0,52780785.0,39355941.0,208672492.0,108181091.0,651872684.0,323263857.0,67986074.0,779927917.0,71336780.0,178376984.0,163575327.0,273613711.0,466377036.0,142122028.0
2020#2020,2377638980.0,18469115.0,138445922.0,45409657.0,7609597000.0,16024276.0,16476371.0,63202349.0,51598741.0,193307317.0,305320813.0,106915962.0,470941846.0,122627726.0,56391257.0,43649803.0,224126112.0,116019139.0,682786116.0,349275016.0,70292034.0,753823711.0,71577107.0,215935604.0,166914536.0,265847334.0,487930594.0,178649564.0
